dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp
2022-04-24,24,4,2022,27,3,Luxembourg,LU,LUX,626108,Europe
2022-04-24,24,4,2022,27019,24,Germany,DE,DEU,83166711,Europe
2022-04-24,24,4,2022,297,9,Lithuania,LT,LTU,2794090,Europe
2022-04-24,24,4,2022,317,0,Poland,PL,POL,37958138,Europe
2022-04-24,24,4,2022,322,0,Latvia,LV,LVA,1907675,Europe
2022-04-24,24,4,2022,347,2,Slovenia,SI,SVN,2095861,Europe
2022-04-24,24,4,2022,3717,16,Portugal,PT,PRT,10295909,Europe
2022-04-24,24,4,2022,4289,12,Austria,AT,AUT,8901064,Europe
2022-04-24,24,4,2022,494,6,Romania,RO,ROU,19328838,Europe
2022-04-24,24,4,2022,524,13,Slovakia,SK,SVK,5457873,Europe
2022-04-24,24,4,2022,560,4,Croatia,HR,HRV,4058165,Europe
2022-04-24,24,4,2022,56848,79,Italy,IT,ITA,59641488,Europe
2022-04-24,24,4,2022,58954,40,France,FR,FRA,67320216,Europe
2022-04-24,24,4,2022,592,8,Czechia,CZ,CZE,10693939,Europe
2022-04-24,24,4,2022,705,0,Ireland,IE,IRL,4964440,Europe
2022-04-24,24,4,2022,78,8,Sweden,SE,SWE,10327589,Europe
2022-04-25,25,4,2022,,50,Spain,ES,ESP,47332614,Europe
2022-04-25,25,4,2022,0,0,Iceland,IS,ISL,364134,Europe
2022-04-25,25,4,2022,1058,20,Ireland,IE,IRL,4964440,Europe
2022-04-25,25,4,2022,119019,171,Germany,DE,DEU,83166711,Europe
2022-04-25,25,4,2022,123,1,Latvia,LV,LVA,1907675,Europe
2022-04-25,25,4,2022,1382,7,Netherlands,NL,NLD,17407585,Europe
2022-04-25,25,4,2022,13984,197,France,FR,FRA,67320216,Europe
2022-04-25,25,4,2022,1558,4,Slovenia,SI,SVN,2095861,Europe
2022-04-25,25,4,2022,178,4,Malta,MT,MLT,514564,Europe
2022-04-25,25,4,2022,1831,10,Slovakia,SK,SVK,5457873,Europe
2022-04-25,25,4,2022,21,0,Liechtenstein,LI,LIE,38747,Europe
2022-04-25,25,4,2022,2255,12,Czechia,CZ,CZE,10693939,Europe
2022-04-25,25,4,2022,248,0,Poland,PL,POL,37958138,Europe
2022-04-25,25,4,2022,25282,93,Italy,IT,ITA,59641488,Europe
2022-04-25,25,4,2022,321,1,Romania,RO,ROU,19328838,Europe
2022-04-25,25,4,2022,3325,53,Hungary,HU,HUN,9769526,Europe
2022-04-25,25,4,2022,377,5,Bulgaria,BG,BGR,6951482,Europe
2022-04-25,25,4,2022,387,6,Sweden,SE,SWE,10327589,Europe
2022-04-25,25,4,2022,4788,17,Portugal,PT,PRT,10295909,Europe
2022-04-25,25,4,2022,4823,30,Finland,FI,FIN,5525292,Europe
2022-04-25,25,4,2022,535,2,Estonia,EE,EST,1328976,Europe
2022-04-25,25,4,2022,588,0,Luxembourg,LU,LUX,626108,Europe
2022-04-25,25,4,2022,6115,13,Austria,AT,AUT,8901064,Europe
